epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6248,1.14969,1.159,0.8206,0.80164,0.56498,0.63756,0.37636,1.00894,0.84389,0.79986,0.000411255,0.000411255,0.000411255
2,133.65,1.21994,0.74618,0.81395,0.51615,0.55595,0.52331,0.30723,1.2176,0.86243,0.80954,0.000819726,0.000819726,0.000819726
3,190.123,1.22755,0.70542,0.81525,0.77098,0.64889,0.67389,0.39543,1.0904,0.62983,0.80776,0.00121995,0.00121995,0.00121995
4,248.567,1.22463,0.65141,0.81739,0.75544,0.622,0.67892,0.42644,1.12436,0.59612,0.81207,0.00121287,0.00121287,0.00121287
5,306.884,1.20781,0.62306,0.81269,0.78565,0.67538,0.71275,0.41973,1.1621,0.56863,0.80504,0.0012005,0.0012005,0.0012005
6,368.924,1.15253,0.59651,0.80617,0.70735,0.63977,0.68752,0.43014,1.00353,0.54501,0.79964,0.00118812,0.00118812,0.00118812
7,442.077,1.12533,0.57965,0.80766,0.85807,0.65484,0.72861,0.45264,1.05388,0.52438,0.80237,0.00117575,0.00117575,0.00117575
8,538.201,1.08348,0.55121,0.80033,0.84787,0.72091,0.77949,0.48405,0.97836,0.5101,0.7964,0.00116337,0.00116337,0.00116337
9,625.874,1.0334,0.57078,0.79986,0.88403,0.66907,0.77862,0.50684,0.88406,0.49352,0.79205,0.001151,0.001151,0.001151
10,707.203,1.01555,0.53252,0.79693,0.84533,0.74475,0.77325,0.50738,0.90686,0.48051,0.79269,0.00113863,0.00113863,0.00113863
11,774.229,1.01044,0.50718,0.79975,0.7965,0.66812,0.72054,0.48724,0.96063,0.49397,0.79946,0.00112625,0.00112625,0.00112625
12,829.926,1.04172,0.51575,0.79771,0.76759,0.73372,0.75502,0.47902,0.91401,0.46886,0.79317,0.00111388,0.00111388,0.00111388
13,898.764,0.98946,0.49172,0.79534,0.82334,0.70417,0.73762,0.47537,0.93314,0.50847,0.79453,0.0011015,0.0011015,0.0011015
14,972.422,1.01451,0.501,0.79575,0.85689,0.66889,0.73684,0.48705,0.88929,0.4637,0.7927,0.00108913,0.00108913,0.00108913
15,1038.11,0.99893,0.48752,0.79661,0.92309,0.68033,0.79273,0.51899,0.8947,0.45963,0.79066,0.00107675,0.00107675,0.00107675
16,1124.15,0.97026,0.47809,0.79484,0.84671,0.73525,0.7609,0.51516,0.87223,0.46896,0.78919,0.00106437,0.00106437,0.00106437
17,1215.94,0.98947,0.47801,0.79295,0.8791,0.72649,0.78722,0.52814,0.87724,0.46101,0.79118,0.001052,0.001052,0.001052
18,1297.94,0.96831,0.47019,0.79328,0.86187,0.69802,0.78307,0.51458,0.85978,0.45648,0.78903,0.00103962,0.00103962,0.00103962
19,1360,0.92751,0.45713,0.78703,0.88873,0.69339,0.78235,0.51066,0.88285,0.44593,0.78995,0.00102725,0.00102725,0.00102725
20,1421.86,0.93516,0.45366,0.79077,0.88951,0.73785,0.78028,0.5105,0.86153,0.44849,0.7895,0.00101488,0.00101488,0.00101488
21,1495.7,0.92298,0.45282,0.79167,0.87908,0.68212,0.77572,0.52328,0.88163,0.447,0.79178,0.0010025,0.0010025,0.0010025
22,1563.52,0.93384,0.45191,0.79068,0.88032,0.70653,0.7964,0.54015,0.84873,0.46215,0.78952,0.000990125,0.000990125,0.000990125
23,1632.69,0.89973,0.43761,0.78981,0.89405,0.74738,0.8012,0.54,0.84551,0.43064,0.79066,0.00097775,0.00097775,0.00097775
24,1742.48,0.8925,0.43636,0.7908,0.83917,0.73443,0.77753,0.5157,0.84277,0.44284,0.78918,0.000965375,0.000965375,0.000965375
25,1803.24,0.89665,0.43983,0.789,0.86674,0.76161,0.79571,0.52572,0.8524,0.43108,0.78757,0.000953,0.000953,0.000953
26,1875.88,0.92706,0.44523,0.7896,0.90349,0.7032,0.77646,0.52715,0.83897,0.43758,0.78772,0.000940625,0.000940625,0.000940625
27,1943.22,0.91979,0.44929,0.79116,0.85079,0.70619,0.77058,0.52117,0.85973,0.43706,0.79166,0.00092825,0.00092825,0.00092825
28,2016.94,0.87279,0.42352,0.78596,0.85106,0.7549,0.79823,0.5375,0.85155,0.42938,0.78772,0.000915875,0.000915875,0.000915875
29,2088.67,0.88264,0.42431,0.78613,0.93476,0.72306,0.80385,0.55058,0.81297,0.4305,0.78534,0.0009035,0.0009035,0.0009035
30,2164.26,0.86672,0.41544,0.78587,0.87376,0.71811,0.78668,0.5288,0.79971,0.42637,0.78681,0.000891125,0.000891125,0.000891125
31,2238.05,0.87547,0.42717,0.78742,0.84692,0.77026,0.80099,0.55732,0.83,0.42745,0.78716,0.00087875,0.00087875,0.00087875
32,2310.6,0.85985,0.41562,0.78605,0.92693,0.73476,0.81577,0.55405,0.80293,0.42092,0.78688,0.000866375,0.000866375,0.000866375
33,2439.15,0.89071,0.4251,0.78357,0.82681,0.70533,0.75721,0.51286,0.85297,0.43519,0.78778,0.000854,0.000854,0.000854
34,2507.11,0.88609,0.41807,0.78881,0.9109,0.7334,0.79279,0.51774,0.89023,0.42614,0.78991,0.000841625,0.000841625,0.000841625
35,2569.68,0.87256,0.40952,0.78719,0.88571,0.74365,0.80632,0.53274,0.847,0.42247,0.79202,0.00082925,0.00082925,0.00082925
36,2630.47,0.8372,0.39581,0.78389,0.92985,0.74841,0.8158,0.55543,0.80545,0.39774,0.78636,0.000816875,0.000816875,0.000816875
37,2697.37,0.85251,0.40283,0.78351,0.93893,0.75286,0.81269,0.55783,0.82818,0.41586,0.78832,0.0008045,0.0008045,0.0008045
38,2773.05,0.83825,0.39294,0.78326,0.93448,0.73467,0.82043,0.55328,0.80048,0.40103,0.78671,0.000792125,0.000792125,0.000792125
39,2843.18,0.83874,0.39899,0.78358,0.90617,0.75332,0.79898,0.53858,0.81405,0.40808,0.78759,0.00077975,0.00077975,0.00077975
